Time: 2020-08-30 10:11:31.123710, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:36.119419, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:41.133668, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:46.151855, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:51.147358, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:56.162189, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:01.168218, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:06.174259, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:11.188480, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:16.195174, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:21.202303, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:26.209487, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:31.252970, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:36.259698, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:41.269106, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:46.288309, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:51.293764, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:12:56.299753, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:01.305061, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:06.310603, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:11.322798, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:16.327854, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:21.340759, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:26.345818, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:31.352701, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:36.362537, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:41.381930, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:46.426901, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:51.492501, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:13:56.500055, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:01.506888, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:06.512195, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:11.517805, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:16.526510, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:21.532802, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:26.548789, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:31.580965, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:36.588498, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:41.962421, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:46.967320, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:51.972748, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:14:56.982816, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:01.989025, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:06.996716, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:11.999668, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:17.020702, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:22.029650, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:27.035092, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:32.039270, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:37.045185, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:42.049178, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:47.054414, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:52.059680, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:15:57.064548, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:02.080019, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:07.083801, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:12.098935, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:17.106423, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:22.112139, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:27.121212, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:32.123303, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:37.131757, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:42.137464, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:47.160444, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:52.169154, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:16:57.174045, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:02.192706, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:07.209837, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:17:12.217580, Messages: 0, Members Joined: 0 
